year,continue,close,merge,split,complex,rename,birth_count
2015,0.9663447468539654,0.025168276265730174,0.007755340942347088,0.0007316359379572724,0.0,0.04436705027256208,579
2016,0.9192336035372144,0.06278555637435519,0.016801768607221813,0.0011790714812085483,0.0,0.06862273528940195,417
2017,0.9630247007122291,0.029853008031519926,0.0066676769207455674,0.0004546143355053796,0.0,0.05869394177812746,661
2018,0.9829033735307586,0.01495954816058617,0.001373836055564036,0.0007632422530911311,0.0,0.03292436713775431,333
2019,0.9693970767356882,0.025578562728380026,0.004110840438489647,0.0009135200974421437,0.0,0.03675200251295744,236
2020,0.9602020511250574,0.03168529006581969,0.006122761365375784,0.0019898974437471298,0.0,0.04144747329826239,337
2021,0.9505311077389985,0.03717754172989378,0.010015174506828529,0.002276176024279211,0.0,0.054757343550447,505
2022,0.9461032001224927,0.047925279436533456,0.003215434083601286,0.002756086357372531,0.0,0.05696714678750607,425
2023,0.9552700820306455,0.03853892586286953,0.004643244079863798,0.001547748026621266,0.0,0.06124432922877511,492
2024,0.9491343649456105,0.04596292324191818,0.003064194882794546,0.0018385169296767274,0.0,0.05665859564164649,690
