year,event,n_department_years,n_events,event_rate,spearman_rho,spearman_p
2015,any structural event,6834,230,0.033655253146034535,-0.04814947477163315,6.833699955758639e-05
2016,any structural event,6785,548,0.08076639646278555,-0.09614900967045215,2.074060096681842e-15
2017,any structural event,6599,244,0.03697529928777087,-0.07467633639112865,1.2506874318050393e-09
2018,any structural event,6551,112,0.017096626469241337,-0.054136600704351154,1.164660242185004e-05
2019,any structural event,6568,201,0.030602923264311816,-0.05735018108828088,3.306733719088697e-06
2020,any structural event,6533,260,0.0397979488749426,-0.05275349857370841,1.9895500557895397e-05
2021,any structural event,6590,326,0.04946889226100152,-0.09419602014307149,1.826155554280151e-14
2022,any structural event,6531,352,0.05389679987750727,-0.07332522804451151,2.981713169285014e-09
2023,any structural event,6461,289,0.04472991796935459,-0.10441369743139316,3.956115553638724e-17
2024,any structural event,6527,332,0.05086563505438946,-0.08587297535063697,3.674284594449388e-12
2015,close,6834,172,0.025168276265730174,-0.04854020108631021,5.960880118875158e-05
2016,close,6785,426,0.06278555637435519,-0.08949158589083908,1.5247148659610084e-13
2017,close,6599,197,0.029853008031519926,-0.06664279724642569,6.004233853142406e-08
2018,close,6551,98,0.01495954816058617,-0.061938929759656536,5.246021855777657e-07
2019,close,6568,168,0.025578562728380026,-0.05075855039283745,3.8633234982409854e-05
2020,close,6533,207,0.03168529006581969,-0.06547991925821421,1.1758132015986739e-07
2021,close,6590,245,0.03717754172989378,-0.10045215965391546,2.990204542589337e-16
2022,close,6531,313,0.047925279436533456,-0.08121346043259382,4.9365720649904464e-11
2023,close,6461,249,0.03853892586286953,-0.11678971293386954,4.5965070566091505e-21
2024,close,6527,300,0.04596292324191818,-0.08943515927932781,4.53413076231377e-13
2015,merge,6834,53,0.007755340942347088,-0.019546332743502776,0.10615590105701753
2016,merge,6785,114,0.016801768607221813,-0.03517047776603747,0.0037627698349566676
2017,merge,6599,44,0.0066676769207455674,-0.03921866534940553,0.0014399534101892364
2018,merge,6551,9,0.001373836055564036,-0.000994426228629334,0.9358620416906088
2019,merge,6568,27,0.004110840438489647,-0.048659649125450816,7.97600487088381e-05
2020,merge,6533,40,0.006122761365375784,-0.004514421346197912,0.7152464757467158
2021,merge,6590,66,0.010015174506828529,-0.010251191313587106,0.40538435731764577
2022,merge,6531,21,0.003215434083601286,-0.01893199587000013,0.12605981320183135
2023,merge,6461,30,0.004643244079863798,-0.007846957447475673,0.5282832488225077
2024,merge,6527,20,0.003064194882794546,-0.029185570107349706,0.018376241893045514
2015,split/complex,6834,5,0.0007316359379572724,0.023466460703296763,0.05239939706848377
2016,split/complex,6785,8,0.0011790714812085483,0.0008940491878144693,0.9413045833739035
2017,split/complex,6599,3,0.0004546143355053796,0.020716554045903425,0.09242251633827783
2018,split/complex,6551,5,0.0007632422530911311,0.019475755765378317,0.114983813535796
2019,split/complex,6568,6,0.0009135200974421437,0.041341330383775195,0.0008045386562861961
2020,split/complex,6533,13,0.0019898974437471298,0.033866147257336755,0.00618968879902746
2021,split/complex,6590,15,0.002276176024279211,-0.008393048056353929,0.495732013761098
2022,split/complex,6531,18,0.002756086357372531,0.035513018719951675,0.0041004816840059435
2023,split/complex,6461,10,0.001547748026621266,0.03640995984285324,0.0034219455009883485
2024,split/complex,6527,12,0.0018385169296767274,0.03438371076744461,0.005467034593662634
2015,rename among continuations,6604,293,0.04436705027256208,-0.06473008702241946,1.4032954135201688e-07
2016,rename among continuations,6237,428,0.06862273528940195,-0.05997299734586915,2.1407152581001534e-06
2017,rename among continuations,6355,373,0.05869394177812746,-0.001407459527528256,0.9106821137717511
2018,rename among continuations,6439,212,0.03292436713775431,0.015405222292433646,0.21645839885426457
2019,rename among continuations,6367,234,0.03675200251295744,-0.0539439907328736,1.657309030904781e-05
2020,rename among continuations,6273,260,0.04144747329826239,-0.02968206916564138,0.018726214776336448
2021,rename among continuations,6264,343,0.054757343550447,-0.06879831371624291,5.0244117416412214e-08
2022,rename among continuations,6179,352,0.05696714678750607,-0.06347191149506615,5.934461065328785e-07
2023,rename among continuations,6172,378,0.06124432922877511,-0.07416677374274164,5.426006861850701e-09
2024,rename among continuations,6195,351,0.05665859564164649,-0.05718967258298822,6.666070338838318e-06
