normalized_size_bin,event,n_department_years,n_events,event_rate
<0.5,any structural event,5433,482,0.0887170992085404
0.5–0.8,any structural event,11423,697,0.06101724590737985
0.8–1.2,any structural event,19434,757,0.03895235154883194
1.2–2,any structural event,17474,614,0.035137919194231426
>2,any structural event,12215,344,0.028162095783872288
<0.5,close,5433,426,0.07840971838763114
0.5–0.8,close,11423,593,0.05191280749365316
0.8–1.2,close,19434,620,0.03190285067407636
1.2–2,close,17474,488,0.027927206134828887
>2,close,12215,248,0.02030290626279165
<0.5,merge,5433,52,0.009571139333701455
0.5–0.8,merge,11423,99,0.00866672502845137
0.8–1.2,merge,19434,118,0.006071832870227436
1.2–2,merge,17474,104,0.0059516996680782875
>2,merge,12215,51,0.004175194433074089
<0.5,split/complex,5433,4,0.0007362414872078042
0.5–0.8,split/complex,11423,5,0.00043771338527532174
0.8–1.2,split/complex,19434,19,0.0009776680045281466
1.2–2,split/complex,17474,22,0.0012590133913242532
>2,split/complex,12215,45,0.0036839950880065493
<0.5,rename among continuations,4951,348,0.07028883053928499
0.5–0.8,rename among continuations,10726,652,0.060786873018832746
0.8–1.2,rename among continuations,18677,992,0.05311345505166783
1.2–2,rename among continuations,16860,805,0.04774614472123369
>2,rename among continuations,11871,427,0.035970010951057195
