year,modifier,count,share
2016,경영,11,0.21153846153846154
2016,경영학,8,0.15384615384615385
2016,공학,2,0.038461538461538464
2016,글로벌,2,0.038461538461538464
2016,문화,7,0.1346153846153846
2016,미디어,7,0.1346153846153846
2016,산업,3,0.057692307692307696
2016,융합,5,0.09615384615384616
2016,행정,1,0.019230769230769232
2016,행정학,6,0.11538461538461539
2017,경영,3,0.033707865168539325
2017,경영학,11,0.12359550561797752
2017,공학,13,0.14606741573033707
2017,글로벌,11,0.12359550561797752
2017,문화,8,0.0898876404494382
2017,미디어,8,0.0898876404494382
2017,산업,7,0.07865168539325842
2017,융합,15,0.16853932584269662
2017,행정,8,0.0898876404494382
2017,행정학,5,0.056179775280898875
2018,경영,11,0.15942028985507245
2018,경영학,13,0.18840579710144928
2018,공학,9,0.13043478260869565
2018,글로벌,4,0.057971014492753624
2018,문화,2,0.028985507246376812
2018,미디어,3,0.043478260869565216
2018,산업,4,0.057971014492753624
2018,융합,10,0.14492753623188406
2018,행정,6,0.08695652173913043
2018,행정학,7,0.10144927536231885
2019,경영,10,0.2222222222222222
2019,경영학,11,0.24444444444444444
2019,공학,4,0.08888888888888889
2019,글로벌,1,0.022222222222222223
2019,문화,1,0.022222222222222223
2019,미디어,3,0.06666666666666667
2019,산업,2,0.044444444444444446
2019,융합,7,0.15555555555555556
2019,행정,3,0.06666666666666667
2019,행정학,3,0.06666666666666667
2020,경영,4,0.13793103448275862
2020,경영학,2,0.06896551724137931
2020,공학,7,0.2413793103448276
2020,글로벌,1,0.034482758620689655
2020,문화,1,0.034482758620689655
2020,미디어,3,0.10344827586206896
2020,산업,3,0.10344827586206896
2020,융합,6,0.20689655172413793
2020,행정,2,0.06896551724137931
2021,경영,10,0.15151515151515152
2021,경영학,2,0.030303030303030304
2021,공학,10,0.15151515151515152
2021,글로벌,5,0.07575757575757576
2021,문화,6,0.09090909090909091
2021,미디어,3,0.045454545454545456
2021,산업,3,0.045454545454545456
2021,융합,22,0.3333333333333333
2021,행정,4,0.06060606060606061
2021,행정학,1,0.015151515151515152
2022,경영,7,0.17073170731707318
2022,경영학,2,0.04878048780487805
2022,공학,7,0.17073170731707318
2022,글로벌,5,0.12195121951219512
2022,문화,4,0.0975609756097561
2022,미디어,2,0.04878048780487805
2022,산업,2,0.04878048780487805
2022,융합,10,0.24390243902439024
2022,행정학,2,0.04878048780487805
2023,경영,9,0.18
2023,경영학,7,0.14
2023,공학,8,0.16
2023,글로벌,5,0.1
2023,문화,2,0.04
2023,미디어,7,0.14
2023,산업,3,0.06
2023,융합,5,0.1
2023,행정,3,0.06
2023,행정학,1,0.02
2024,경영,6,0.12244897959183673
2024,경영학,2,0.04081632653061224
2024,공학,15,0.30612244897959184
2024,글로벌,4,0.08163265306122448
2024,문화,5,0.10204081632653061
2024,미디어,6,0.12244897959183673
2024,산업,1,0.02040816326530612
2024,융합,6,0.12244897959183673
2024,행정,2,0.04081632653061224
2024,행정학,2,0.04081632653061224
2025,경영,4,0.10256410256410256
2025,경영학,2,0.05128205128205128
2025,공학,3,0.07692307692307693
2025,문화,6,0.15384615384615385
2025,미디어,4,0.10256410256410256
2025,산업,4,0.10256410256410256
2025,융합,7,0.1794871794871795
2025,행정,3,0.07692307692307693
2025,행정학,6,0.15384615384615385
